index,Date,Open,High,Low,Close,volume,oi
568,2018-06-07,26577.95,26766.95,26483.9,26517.8,0,0
569,2018-06-08,26457.25,26481.0,26284.2,26451.35,0,0
570,2018-06-11,26473.2,26653.0,26421.95,26453.55,0,0
571,2018-06-12,26566.6,26656.45,26449.85,26607.1,0,0
572,2018-06-13,26721.95,26765.45,26598.2,26642.8,0,0
573,2018-06-14,26612.3,26623.25,26503.1,26562.25,0,0
574,2018-06-15,26513.7,26586.4,26344.95,26417.4,0,0
575,2018-06-18,26444.3,26477.5,26322.45,26409.3,0,0
576,2018-06-19,26448.1,26448.1,26224.75,26265.75,0,0
577,2018-06-20,26320.45,26574.75,26309.95,26557.7,0,0
578,2018-06-21,26645.3,26682.95,26454.95,26496.95,0,0
579,2018-06-22,26518.4,26806.55,26364.25,26766.85,0,0
580,2018-06-25,26718.15,26804.9,26573.0,26609.7,0,0
581,2018-06-26,26495.65,26712.6,26479.65,26601.7,0,0
582,2018-06-27,26616.3,26634.3,26336.5,26423.4,0,0
583,2018-06-28,26398.1,26487.85,26161.0,26324.6,0,0
584,2018-06-29,26312.7,26465.0,26291.35,26364.2,0,0
585,2018-07-02,26364.45,26371.6,26060.6,26230.3,0,0
586,2018-07-03,26210.1,26316.1,26142.0,26204.1,0,0
587,2018-07-04,26249.25,26480.5,26132.9,26433.95,0,0
588,2018-07-05,26481.55,26598.45,26415.2,26503.3,0,0
589,2018-07-06,26427.55,26609.85,26410.0,26493.85,0,0
590,2018-07-09,26642.35,26781.2,26611.55,26753.3,0,0
591,2018-07-10,26844.55,26939.55,26778.5,26894.55,0,0
592,2018-07-11,26900.65,26938.85,26774.6,26816.2,0,0
593,2018-07-12,26937.5,27164.8,26936.05,27026.55,0,0
594,2018-07-13,27046.85,27102.35,26902.3,26935.95,0,0
595,2018-07-16,26914.5,26939.05,26643.95,26679.8,0,0
596,2018-07-17,26662.85,27041.35,26653.65,27008.1,0,0
597,2018-07-18,27107.35,27187.15,26834.45,26880.9,0,0
598,2018-07-19,26960.2,27025.45,26730.1,26789.65,0,0
599,2018-07-20,26764.4,26946.55,26718.6,26873.2,0,0
600,2018-07-23,26701.3,27040.1,26671.35,27008.15,0,0
601,2018-07-24,26984.15,27128.0,26868.15,26974.4,0,0
602,2018-07-25,26992.55,27074.0,26939.35,27031.3,0,0
603,2018-07-26,27054.7,27455.1,27045.05,27406.4,0,0
604,2018-07-27,27497.8,27661.05,27455.0,27634.4,0,0
605,2018-07-30,27767.65,27873.7,27607.95,27842.6,0,0
606,2018-07-31,27797.2,27839.2,27651.3,27764.15,0,0
607,2018-08-01,27684.8,27820.15,27477.9,27596.6,0,0
608,2018-08-02,27469.5,27487.9,27327.95,27355.95,0,0
609,2018-08-03,27471.95,27723.0,27448.15,27695.5,0,0
610,2018-08-06,27769.55,27994.0,27766.05,27898.5,0,0
611,2018-08-07,27972.95,27988.2,27827.3,27875.9,0,0
612,2018-08-08,27930.55,28128.65,27858.75,28062.45,0,0
613,2018-08-09,28173.65,28363.4,28132.0,28320.0,0,0
614,2018-08-10,28348.95,28377.9,28087.65,28124.25,0,0
615,2018-08-13,27760.8,27911.85,27739.5,27794.4,0,0
616,2018-08-14,27864.4,28053.05,27854.9,28021.7,0,0
617,2018-08-16,27836.15,28013.1,27779.5,27826.55,0,0
618,2018-08-17,27991.75,28178.15,27953.8,28128.55,0,0
619,2018-08-20,28171.65,28322.3,28171.65,28274.25,0,0
620,2018-08-21,28295.85,28305.95,28151.9,28257.9,0,0
621,2018-08-23,28321.95,28325.45,27965.35,28027.9,0,0
622,2018-08-24,27954.25,28122.75,27782.8,27834.7,0,0
623,2018-08-27,27971.25,28317.75,27958.2,28264.2,0,0
624,2018-08-28,28379.9,28388.65,28152.7,28269.65,0,0
625,2018-08-29,28233.4,28344.1,28167.8,28224.1,0,0
626,2018-08-30,28233.7,28233.7,27961.75,28103.25,0,0
627,2018-08-31,27998.0,28157.35,27940.95,28061.75,0,0
628,2018-09-03,28199.45,28203.2,27777.4,27819.5,0,0
629,2018-09-04,27845.55,27875.15,27385.85,27430.75,0,0
630,2018-09-05,27409.3,27506.3,27136.05,27376.05,0,0
631,2018-09-06,27464.25,27552.8,27246.25,27468.7,0,0
632,2018-09-07,27439.25,27512.5,27232.8,27481.45,0,0
633,2018-09-10,27395.2,27404.85,27142.55,27201.75,0,0
