Date,Open,High,Low,Close,Volume
2019-03-14,613.55,619.1,607.35,609.8,22884506
2019-03-15,611.4,617.65,596.0,600.75,34964804
2019-03-18,605.0,617.25,604.1,613.65,22231514
2019-03-19,618.15,627.3,610.5,625.7,21571700
2019-03-20,626.3,630.9,620.0,625.2,21764210
2019-03-22,623.9,627.65,607.6,609.85,25223246
2019-03-25,604.85,607.65,598.5,602.05,17494382
2019-03-26,604.65,623.45,604.55,621.45,20854434
2019-03-27,626.35,626.35,611.05,613.3,22207182
2019-03-28,613.75,622.65,610.35,618.15,23062464
2019-03-29,622.75,625.85,615.95,619.65,16938396
2019-04-01,622.7,639.45,619.35,632.65,22216218
2019-04-02,635.45,637.8,627.35,631.65,17627800
2019-04-03,633.1,637.7,623.6,625.1,17268814
2019-04-04,626.85,628.95,612.35,615.05,18426482
2019-04-05,618.6,619.95,610.45,615.4,14802126
2019-04-08,616.4,617.05,601.65,604.2,19191870
2019-04-09,604.05,609.4,600.45,606.6,20894766
2019-04-10,608.15,612.7,602.95,605.15,16747964
2019-04-11,605.9,615.0,604.1,612.15,12630932
2019-04-12,613.6,616.8,607.55,610.5,13023432
2019-04-15,611.4,613.15,606.85,609.15,9339280
2019-04-16,611.4,618.15,609.1,610.8,17460416
2019-04-18,625.0,631.7,620.45,629.95,39513060
2019-04-22,618.15,621.4,609.65,611.55,23744046
2019-04-23,612.7,624.1,611.85,619.95,19921660
2019-04-24,622.85,634.0,621.05,631.6,16193952
2019-04-25,631.4,642.0,619.4,623.8,30645604
2019-04-26,625.0,634.55,623.05,633.1,15156776
2019-04-30,634.7,634.7,621.3,633.1,22477442
2019-05-02,632.7,642.7,628.2,638.65,19101512
2019-05-03,639.95,644.35,637.55,640.35,14322372
2019-05-06,635.45,637.65,626.4,629.5,15923402
2019-05-07,634.0,634.1,609.15,610.65,19529610
2019-05-08,609.1,609.1,587.35,590.65,32143194
2019-05-09,585.85,585.85,568.95,571.1,42916210
2019-05-10,575.0,580.8,565.9,568.7,24699028
2019-05-13,567.2,573.1,557.95,560.05,17705162
2019-05-14,562.05,576.95,559.8,572.9,28602208
2019-05-15,578.6,580.9,568.45,571.3,24560362
2019-05-16,572.7,578.15,571.9,575.15,14534634
2019-05-17,575.9,580.4,569.1,576.1,17376568
2019-05-20,597.1,608.05,592.5,602.65,27134662
2019-05-21,605.55,621.4,604.6,609.0,30518522
2019-05-22,611.65,618.05,606.9,609.3,24832280
2019-05-23,623.6,632.7,602.3,606.3,38989530
2019-05-24,612.7,615.35,598.4,607.65,22397670
2019-05-27,607.8,607.95,594.1,595.75,16169384
2019-05-28,599.9,606.7,596.95,601.7,42839850
2019-05-29,600.45,606.05,592.8,596.85,15648226
2019-05-30,598.3,610.0,598.3,604.4,23629850
2019-05-31,608.15,609.95,600.1,604.65,25872392
2019-06-03,606.85,621.45,600.55,618.3,18663942
2019-06-04,617.05,624.65,612.8,614.4,15531804
2019-06-06,619.05,619.05,600.5,603.35,16861502
2019-06-07,602.7,603.3,593.45,597.65,14807310
2019-06-10,600.4,603.15,595.5,599.65,11836326
2019-06-11,600.85,606.6,599.1,604.15,11558338
2019-06-12,606.65,608.4,602.3,605.55,10356976
2019-06-13,604.55,606.65,594.85,603.3,15776616
2019-06-14,600.9,602.3,595.15,598.9,15028928
2019-06-17,600.0,600.0,581.1,582.85,14994218
2019-06-18,581.3,585.4,576.9,582.3,16894224
2019-06-19,584.95,591.85,573.9,580.65,14576328
2019-06-20,581.85,590.9,580.9,589.4,10810826
2019-06-21,589.1,589.1,579.8,581.6,23370816
2019-06-24,578.25,580.2,571.4,573.8,11332196
2019-06-25,572.2,590.0,570.15,589.05,15053198
2019-06-26,586.85,593.0,584.7,588.25,11659872
2019-06-27,587.8,589.5,577.7,579.15,25049138
2019-06-28,580.5,583.15,567.55,569.6,19051386
2019-07-01,571.85,578.45,566.6,576.75,13556576
2019-07-02,579.1,582.3,574.2,581.1,10205252
2019-07-03,583.15,584.8,579.6,582.95,8857270
2019-07-04,582.45,586.85,581.85,583.6,9405326
2019-07-05,584.1,586.6,572.7,574.25,10989756
2019-07-08,571.85,576.4,567.35,569.1,14089996
2019-07-09,567.7,583.4,566.1,581.9,17636866
2019-07-10,581.85,586.1,576.65,581.3,12087494
2019-07-11,585.0,586.3,581.5,582.55,8658012
2019-07-12,583.15,590.9,580.9,582.05,15782918
2019-07-15,584.1,586.1,577.45,580.05,10720960
2019-07-16,581.8,588.6,580.45,587.7,10128842
2019-07-17,588.35,589.55,581.85,582.65,9536908
2019-07-18,582.7,584.7,571.85,573.6,12011772
2019-07-19,576.45,578.6,564.85,567.7,16430734
2019-07-22,568.6,583.9,557.85,582.05,29260336
2019-07-23,584.1,588.15,572.9,578.9,20433492
2019-07-24,578.9,581.3,569.8,572.35,15276760
2019-07-25,574.55,576.85,557.7,559.8,21930800
2019-07-26,559.8,564.8,550.0,551.7,20505058
2019-07-29,553.15,555.45,547.8,550.4,17727678
2019-07-30,551.8,554.55,534.55,536.8,20973356
2019-07-31,534.4,538.6,528.4,530.15,21352362
2019-08-01,528.8,540.1,522.85,536.45,22758696
2019-08-02,534.4,544.65,528.2,538.35,23903848
2019-08-05,530.45,530.45,512.7,519.7,30574414
2019-08-06,515.8,522.55,510.0,512.85,29235600
2019-08-07,512.05,517.55,501.4,504.25,25495534
2019-08-08,503.8,526.4,497.85,523.8,31378460
2019-08-09,528.15,534.35,523.8,528.2,22096688
2019-08-13,560.55,592.15,557.3,579.4,105431576
2019-08-14,592.7,592.9,581.95,585.6,31871702
2019-08-16,586.9,587.15,578.6,580.9,22104492
2019-08-19,582.3,589.45,581.85,587.55,16411690
2019-08-20,586.3,587.55,578.45,579.95,15055612
2019-08-21,579.85,581.2,575.65,577.7,10739416
2019-08-22,577.7,577.7,563.15,566.7,14112862
2019-08-23,563.15,583.6,557.5,579.95,21430776
2019-08-26,588.15,588.15,572.3,575.85,19313226
2019-08-27,584.1,584.1,573.3,579.45,28565672
2019-08-28,578.95,582.3,570.9,574.2,11672406
2019-08-29,571.1,572.85,561.5,564.4,18999142
2019-08-30,566.1,570.15,555.0,567.55,24877864
2019-09-03,564.65,565.0,545.45,548.4,18838620
2019-09-04,545.7,547.85,539.1,545.95,33139382
2019-09-05,548.55,551.45,542.4,544.85,23128078
2019-09-06,546.85,558.6,543.3,555.65,23320514
